157 81 64 119 79 240 84 80 498 37 0 
150 42 59 202 40 157 163 79 119 16 0 
36 42 79 18 497 157 163 113 498 12 0 
48 236 154 96 497 31 42 141 18 117 0 
42 43 141 29 201 58 61 113 18 37 1 
91 134 79 18 497 14 236 60 498 98 0 
150 3 79 18 44 59 96 76 15 25 0 
10 0 3 96 44 7 236 113 18 99 1 
164 85 121 18 497 150 37 60 498 25 0 
24 236 76 498 497 58 245 59 119 40 1 
91 42 59 18 26 58 90 79 498 497 1 
157 38 59 202 497 245 55 79 429 201 0 
31 38 57 429 201 85 134 113 18 37 1 
68 99 121 202 25 126 0 0 429 497 0 
98 238 113 429 497 126 3 60 119 117 1 
58 8 59 429 25 85 69 154 96 497 0 
240 69 421 29 25 79 42 121 429 497 0 
48 7 79 119 12 31 42 113 429 44 0 
59 4 141 429 497 58 38 57 202 143 0 
236 61 57 42 25 126 43 154 18 12 1 
24 3 79 29 117 31 42 59 236 85 0 
150 42 79 22 37 57 236 59 119 40 1 
150 8 57 429 497 236 30 20 18 12 1 
92 90 79 119 497 39 112 141 498 117 0 
126 134 141 18 37 59 90 121 429 12 0 
164 134 60 119 117 141 268 76 202 53 1 
68 61 121 96 412 92 268 31 119 37 1 
69 91 59 51 40 38 240 79 119 432 1 
75 91 79 18 53 39 69 107 429 3 1 
164 115 57 96 48 59 43 203 119 412 1 
58 42 76 110 85 164 112 121 96 117 1 
41 126 60 96 44 98 61 59 429 117 0 
240 163 57 236 79 59 7 102 18 48 0 
59 3 113 51 44 58 126 76 18 12 0 
74 38 421 96 25 57 42 121 429 12 1 
43 245 64 18 37 31 61 141 29 40 1 
150 61 421 429 85 8 141 29 498 497 0 
98 268 64 18 85 150 61 421 119 432 1 
58 42 79 202 40 236 134 28 429 12 1 
150 38 154 18 12 10 134 79 498 117 0 
23 163 79 498 497 240 7 29 18 40 1 
141 38 154 429 40 24 163 57 498 497 0 
141 163 76 29 12 59 30 60 18 44 1 
78 43 154 29 37 164 25 64 18 16 1 
3 38 79 429 412 44 55 60 18 10 0 
59 8 79 18 117 91 163 154 96 40 1 
31 163 79 18 117 68 236 141 429 412 0 
79 7 121 18 12 41 42 113 429 25 0 
150 7 57 18 497 8 30 154 110 53 1 
31 134 76 96 117 150 101 36 119 40 1 
59 141 113 202 37 36 10 154 498 117 1 
126 38 164 18 40 10 69 56 498 497 1 
69 38 57 236 164 79 61 121 18 9 0 
58 69 113 202 432 150 163 164 119 40 1 
10 236 36 51 25 50 112 113 18 40 1 
57 61 164 202 412 58 69 79 18 12 1 
150 38 79 498 117 24 7 164 18 40 0 
236 61 141 51 43 75 134 57 202 111 1 
114 134 113 18 412 24 245 154 498 497 1 
31 8 76 29 40 85 1 59 498 497 0 
164 115 141 202 85 150 112 427 498 497 1 
24 163 76 51 25 164 45 121 236 201 0 
79 61 421 96 40 24 38 121 18 432 0 
150 163 141 18 432 68 157 60 119 40 1 
236 61 20 96 201 59 268 121 51 25 0 
240 238 76 429 267 126 13 113 202 85 1 
131 7 36 18 40 74 13 79 498 412 0 
59 61 57 51 48 68 8 121 498 12 1 
6 163 59 18 432 114 38 141 498 26 1 
79 54 141 18 117 24 236 76 202 26 1 
3 7 19 202 12 126 61 113 119 53 1 
68 91 59 498 497 41 42 421 18 40 1 
31 38 131 429 16 98 42 79 119 412 0 
69 112 57 51 48 236 79 20 18 412 1 
141 61 79 119 201 91 101 20 202 12 0 
150 112 57 110 497 74 141 79 18 48 1 
24 38 79 51 37 74 117 64 67 40 1 
150 61 121 119 25 8 3 79 498 497 1 
114 0 0 236 79 31 0 0 163 59 0 
84 31 121 18 53 59 38 64 51 43 0 
75 81 57 429 12 24 3 19 202 53 0 
245 163 113 18 25 59 61 6 429 53 0 
516 0 0 38 101 85 74 121 18 89 0 
516 85 104 110 497 236 13 78 42 412 0 
157 1 104 498 40 82 61 107 29 412 0 
39 157 81 67 117 24 42 57 18 412 1 
98 0 24 498 43 157 134 59 96 267 1 
58 157 113 18 37 240 69 59 429 85 0 
157 4 59 18 40 102 38 141 429 85 0 
0 245 98 498 143 516 134 59 18 201 1 
