"Scrandor" "NA"
"NintendudeX" "NA"
"가자엘에이" "KR"
"Midnight Train" "NA"
"Clid" "KR"
"Cheers" "KR"
"Sophist Sage" "NA"
"C9 Smoothie" "NA"
"reMember Mistake" "KR"
"Piggy Kitten" "NA"
"Yoppa" "EUW"
"지니기여오" "KR"
"IMAY FLAWLES" "KR"
"smm" "EUW"
"Tea" "EUW"
"x4T7" "EUW"
"Doss" "EUW"
"Ashˉ" "NA"
"feedlancer" "NA"
"Jue VioIe Grace" "NA"
"BVybAFFk" "EUW"
"PXB1" "KR"
"Shafu" "EUW"
"PGM Razork" "EUW"
"Value" "NA"
"Milicaa" "EUW"
"Twisted Math" "EUW"
"Wınt&eacute;r" "NA"
"NB Frog Jesus" "EUW"
"like brave" "KR"
"CLA Tuesday" "NA"
"yizhiyu" "KR"
" hf ghkyu" "KR"
"owo ovo" "KR"
"Captainfly" "KR"
"ybooks" "NA"
"MRDS Roison" "EUW"
"AHAHAHAHAHAH IDC" "EUW"
"JlJlJlJlJlJI" "EUW"
"MSF PowerOfEvil" "EUW"
"Tuesdayy" "NA"
"Kindry OTP" "EUW"
"PGM JaVaaa" "EUW"
"Kitty Ears" "NA"
"Akaadian4" "NA"
"두 런" "KR"
"Julien" "NA"
"MRDS Treatz" "EUW"
"Ild i piben" "NA"
"Ssita" "NA"
"H0lyPhoenix" "EUW"
"RRRR IX" "EUW"
"마산가자" "KR"
"DS XiaoPeng" "KR"
"GO bIuerzor" "EUW"
"Hearts Yearnings" "KR"
"카페라톄" "KR"
"Lehends" "KR"
"Implic&iacute;t" "NA"
"Dian123" "KR"
"GO Targamas" "EUW"
"UaoDE0" "KR"
"삼성갤럭시 Crown" "KR"
"이드류" "KR"
"lron Pyrite" "NA"
"프제짱" "KR"
"NoahMost" "NA"
"Skeanz" "EUW"
"KlNG BDD" "EUW"
"Leagu&eacute;" "NA"
"labrovdisko" "EUW"
"Rohammers" "NA"
"Chapanya" "NA"
"Axiyo" "KR"
"나는개똥벌레에" "KR"
"MRTONERBONER" "NA"
"Archhangel" "NA"
"MLGB Błade" "NA"
"Jon Sn0w" "KR"
"벙어리 가 되 다" "KR"
"귤렐루야" "KR"
"Nomanz" "EUW"
"K1zunaAI" "KR"
"Phaxen" "NA"
"lsIand" "KR"
"Asel J" "KR"
"뭐이리불만이많아" "KR"
"NaGeNanHai" "NA"
"Midi Chapi" "EUW"
"EEW LueD" "KR"
"ROX KeY" "KR"
"DopaOuO" "KR"
"노력해야하는사람" "KR"
"ROX 라바" "KR"
"Berta Lovejoy" "NA"
"Boooooom" "EUW"
"MeloDy Come Back" "KR"
"fragas1" "NA"
"Destiny" "KR"
